gross_annual,net_annual_italy,net_annual_finland,net_annual_fi_ppp_adj,net_monthly_italy,net_monthly_finland,net_monthly_fi_ppp_adj,eff_rate_italy_pct,eff_rate_finland_pct
89500.0,53686.72,53196.01,43567.58,4473.89,4433.0,3630.63,40.01,40.56
90000.0,53945.53,53455.69,43780.25,4495.46,4454.64,3648.35,40.06,40.6
90500.0,54204.34,53715.37,43992.93,4517.03,4476.28,3666.08,40.11,40.65
91000.0,54463.15,53975.05,44205.61,4538.6,4497.92,3683.8,40.15,40.69
91500.0,54721.96,54234.72,44418.28,4560.16,4519.56,3701.52,40.19,40.73
92000.0,54980.76,54494.4,44630.96,4581.73,4541.2,3719.25,40.24,40.77
92500.0,55239.57,54754.08,44843.64,4603.3,4562.84,3736.97,40.28,40.81
93000.0,55498.38,55013.76,45056.31,4624.86,4584.48,3754.69,40.32,40.85
93500.0,55757.19,55273.44,45268.99,4646.43,4606.12,3772.42,40.37,40.88
94000.0,56016.0,55500.13,45454.65,4668.0,4625.01,3787.89,40.41,40.96
94500.0,56274.81,55714.66,45630.35,4689.57,4642.89,3802.53,40.45,41.04
95000.0,56533.62,55929.2,45806.06,4711.14,4660.77,3817.17,40.49,41.13
95500.0,56792.42,56143.74,45981.77,4732.7,4678.64,3831.81,40.53,41.21
96000.0,57051.23,56358.27,46157.47,4754.27,4696.52,3846.46,40.57,41.29
96500.0,57310.04,56572.81,46333.18,4775.84,4714.4,3861.1,40.61,41.38
97000.0,57568.85,56787.34,46508.88,4797.4,4732.28,3875.74,40.65,41.46
97500.0,57827.66,57001.88,46684.59,4818.97,4750.16,3890.38,40.69,41.54
98000.0,58086.47,57216.42,46860.29,4840.54,4768.04,3905.02,40.73,41.62
98500.0,58345.27,57430.95,47036.0,4862.11,4785.91,3919.67,40.77,41.69
99000.0,58604.08,57645.49,47211.7,4883.67,4803.79,3934.31,40.8,41.77
99500.0,58862.89,57860.02,47387.4,4905.24,4821.67,3948.95,40.84,41.85
100000.0,59121.7,58074.56,47563.11,4926.81,4839.55,3963.59,40.88,41.93
100500.0,59380.51,58289.1,47738.82,4948.38,4857.42,3978.24,40.91,42.0
101000.0,59639.32,58503.63,47914.52,4969.94,4875.3,3992.88,40.95,42.08
101500.0,59898.13,58718.17,48090.23,4991.51,4893.18,4007.52,40.99,42.15
102000.0,60156.93,58932.7,48265.93,5013.08,4911.06,4022.16,41.02,42.22
102500.0,60415.74,59147.24,48441.64,5034.64,4928.94,4036.8,41.06,42.3
103000.0,60674.55,59361.78,48617.35,5056.21,4946.81,4051.45,41.09,42.37
103500.0,60933.36,59576.31,48793.05,5077.78,4964.69,4066.09,41.13,42.44
104000.0,61192.17,59790.85,48968.76,5099.35,4982.57,4080.73,41.16,42.51
104500.0,61450.98,60005.38,49144.46,5120.92,5000.45,4095.37,41.2,42.58
105000.0,61709.78,60219.92,49320.16,5142.48,5018.33,4110.01,41.23,42.65
105500.0,61968.59,60434.46,49495.87,5164.05,5036.2,4124.66,41.26,42.72
106000.0,62227.4,60648.99,49671.57,5185.62,5054.08,4139.3,41.29,42.78
106500.0,62486.21,60863.53,49847.28,5207.18,5071.96,4153.94,41.33,42.85
107000.0,62745.02,61078.06,50022.98,5228.75,5089.84,4168.58,41.36,42.92
107500.0,63003.83,61292.6,50198.69,5250.32,5107.72,4183.22,41.39,42.98
108000.0,63262.64,61507.14,50374.4,5271.89,5125.6,4197.87,41.42,43.05
108500.0,63521.44,61721.67,50550.1,5293.45,5143.47,4212.51,41.45,43.11
109000.0,63780.25,61936.21,50725.81,5315.02,5161.35,4227.15,41.49,43.18
109500.0,64039.06,62150.74,50901.51,5336.59,5179.23,4241.79,41.52,43.24
110000.0,64297.87,62365.28,51077.22,5358.16,5197.11,4256.44,41.55,43.3
110500.0,64556.68,62579.82,51252.92,5379.72,5214.98,4271.08,41.58,43.37
111000.0,64815.49,62794.35,51428.62,5401.29,5232.86,4285.72,41.61,43.43
111500.0,65074.3,63008.89,51604.33,5422.86,5250.74,4300.36,41.64,43.49
112000.0,65333.1,63223.42,51780.03,5444.42,5268.62,4315.0,41.67,43.55
112500.0,65591.91,63437.96,51955.74,5465.99,5286.5,4329.64,41.7,43.61
113000.0,65850.72,63652.5,52131.45,5487.56,5304.38,4344.29,41.73,43.67
113500.0,66109.53,63867.03,52307.15,5509.13,5322.25,4358.93,41.75,43.73
