Vuosi,Sektoriluokitus 2023,Ammattiluokitus 2010,Sukupuoli,Tiedot,Vuosi_label,Sektoriluokitus 2023_label,Ammattiluokitus 2010_label,Sukupuoli_label,Tiedot_label,value
2024,S0,6,SSS,koko_psaaja_kans_med,2024*,S0 Total,"6 Skilled agricultural, forestry and fishery workers",Total,"Median for total earnings of full-time wage and salary earners, EUR per month",2560
2024,S0,6,SSS,koko_psaaja_kans_p90,2024*,S0 Total,"6 Skilled agricultural, forestry and fishery workers",Total,"9th decile of total earnings of full-time wage and salary earners, EUR per month",3615
2024,S0,6,SSS,koko_psaaja_sans_ka,2024*,S0 Total,"6 Skilled agricultural, forestry and fishery workers",Total,"Average for earnings for regular working hours of full-time wage and salary earners, EUR per month",2626
2024,S0,6,SSS,koko_psaaja_sans_p10,2024*,S0 Total,"6 Skilled agricultural, forestry and fishery workers",Total,"1st decile of earnings for regular working hours of full-time wage and salary earners, EUR per month",1838
2024,S0,6,SSS,koko_psaaja_sans_med,2024*,S0 Total,"6 Skilled agricultural, forestry and fishery workers",Total,"Median for earnings for regular working hours of full-time wage and salary earners, EUR per month",2517
2024,S0,6,SSS,koko_psaaja_sans_p90,2024*,S0 Total,"6 Skilled agricultural, forestry and fishery workers",Total,"9th decile of earnings for regular working hours of full-time wage and salary earners, EUR per month",3517
2024,S0,7,SSS,koko_psaaja_lkm,2024*,S0 Total,7 Craft and related trades workers,Total,Number of full-time wage and salary earners,169474
2024,S0,7,SSS,koko_psaaja_kans_ka,2024*,S0 Total,7 Craft and related trades workers,Total,"Average for total earnings of full-time wage and salary earners, EUR per month",3538
2024,S0,7,SSS,koko_psaaja_kans_p10,2024*,S0 Total,7 Craft and related trades workers,Total,"1st decile of total earnings of full-time wage and salary earners, EUR per month",2520
2024,S0,7,SSS,koko_psaaja_kans_med,2024*,S0 Total,7 Craft and related trades workers,Total,"Median for total earnings of full-time wage and salary earners, EUR per month",3415
2024,S0,7,SSS,koko_psaaja_kans_p90,2024*,S0 Total,7 Craft and related trades workers,Total,"9th decile of total earnings of full-time wage and salary earners, EUR per month",4707
2024,S0,7,SSS,koko_psaaja_sans_ka,2024*,S0 Total,7 Craft and related trades workers,Total,"Average for earnings for regular working hours of full-time wage and salary earners, EUR per month",3391
2024,S0,7,SSS,koko_psaaja_sans_p10,2024*,S0 Total,7 Craft and related trades workers,Total,"1st decile of earnings for regular working hours of full-time wage and salary earners, EUR per month",2477
2024,S0,7,SSS,koko_psaaja_sans_med,2024*,S0 Total,7 Craft and related trades workers,Total,"Median for earnings for regular working hours of full-time wage and salary earners, EUR per month",3310
2024,S0,7,SSS,koko_psaaja_sans_p90,2024*,S0 Total,7 Craft and related trades workers,Total,"9th decile of earnings for regular working hours of full-time wage and salary earners, EUR per month",4397
2024,S0,8,SSS,koko_psaaja_lkm,2024*,S0 Total,"8 Plant and machine operators, and assemblers",Total,Number of full-time wage and salary earners,152019
2024,S0,8,SSS,koko_psaaja_kans_ka,2024*,S0 Total,"8 Plant and machine operators, and assemblers",Total,"Average for total earnings of full-time wage and salary earners, EUR per month",3534
2024,S0,8,SSS,koko_psaaja_kans_p10,2024*,S0 Total,"8 Plant and machine operators, and assemblers",Total,"1st decile of total earnings of full-time wage and salary earners, EUR per month",2428
2024,S0,8,SSS,koko_psaaja_kans_med,2024*,S0 Total,"8 Plant and machine operators, and assemblers",Total,"Median for total earnings of full-time wage and salary earners, EUR per month",3382
2024,S0,8,SSS,koko_psaaja_kans_p90,2024*,S0 Total,"8 Plant and machine operators, and assemblers",Total,"9th decile of total earnings of full-time wage and salary earners, EUR per month",4858
2024,S0,8,SSS,koko_psaaja_sans_ka,2024*,S0 Total,"8 Plant and machine operators, and assemblers",Total,"Average for earnings for regular working hours of full-time wage and salary earners, EUR per month",3371
2024,S0,8,SSS,koko_psaaja_sans_p10,2024*,S0 Total,"8 Plant and machine operators, and assemblers",Total,"1st decile of earnings for regular working hours of full-time wage and salary earners, EUR per month",2381
2024,S0,8,SSS,koko_psaaja_sans_med,2024*,S0 Total,"8 Plant and machine operators, and assemblers",Total,"Median for earnings for regular working hours of full-time wage and salary earners, EUR per month",3259
2024,S0,8,SSS,koko_psaaja_sans_p90,2024*,S0 Total,"8 Plant and machine operators, and assemblers",Total,"9th decile of earnings for regular working hours of full-time wage and salary earners, EUR per month",4509
2024,S0,9,SSS,koko_psaaja_lkm,2024*,S0 Total,9 Elementary occupations,Total,Number of full-time wage and salary earners,105861
2024,S0,9,SSS,koko_psaaja_kans_ka,2024*,S0 Total,9 Elementary occupations,Total,"Average for total earnings of full-time wage and salary earners, EUR per month",2723
2024,S0,9,SSS,koko_psaaja_kans_p10,2024*,S0 Total,9 Elementary occupations,Total,"1st decile of total earnings of full-time wage and salary earners, EUR per month",2014
