dataset,time,obs_value,freq,nace_r2,age,sex,unit,geo
lfst_r_lfe2en2,2008,64.5,A,B-E,Y_GE15,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,3567.7,A,B-E,Y_GE15,M,THS_PER,IT
lfst_r_lfe2en2,2008,459.8,A,B-E,Y_GE15,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,447.8,A,B-E,Y_GE15,T,THS_PER,FI
lfst_r_lfe2en2,2008,91.7,A,B-E,Y_GE15,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,4928.5,A,B-E,Y_GE15,T,THS_PER,IT
lfst_r_lfe2en2,2008,664.7,A,B-E,Y_GE15,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,2.0,A,F,Y15-24,F,THS_PER,FI
lfst_r_lfe2en2,2008,9.6,A,F,Y15-24,F,THS_PER,IT
lfst_r_lfe2en2,2008,22.5,A,F,Y15-24,M,THS_PER,FI
lfst_r_lfe2en2,2008,6.3,A,F,Y15-24,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,164.0,A,F,Y15-24,M,THS_PER,IT
lfst_r_lfe2en2,2008,15.8,A,F,Y15-24,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,24.5,A,F,Y15-24,T,THS_PER,FI
lfst_r_lfe2en2,2008,7.4,A,F,Y15-24,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,173.6,A,F,Y15-24,T,THS_PER,IT
lfst_r_lfe2en2,2008,16.6,A,F,Y15-24,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,13.2,A,F,Y15-64,F,THS_PER,FI
lfst_r_lfe2en2,2008,5.9,A,F,Y15-64,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,112.2,A,F,Y15-64,F,THS_PER,IT
lfst_r_lfe2en2,2008,10.7,A,F,Y15-64,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,170.9,A,F,Y15-64,M,THS_PER,FI
lfst_r_lfe2en2,2008,44.0,A,F,Y15-64,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,1817.2,A,F,Y15-64,M,THS_PER,IT
lfst_r_lfe2en2,2008,167.3,A,F,Y15-64,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,184.0,A,F,Y15-64,T,THS_PER,FI
lfst_r_lfe2en2,2008,49.9,A,F,Y15-64,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,1929.4,A,F,Y15-64,T,THS_PER,IT
lfst_r_lfe2en2,2008,177.9,A,F,Y15-64,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,13.4,A,F,Y15-74,F,THS_PER,FI
lfst_r_lfe2en2,2008,6.0,A,F,Y15-74,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,112.6,A,F,Y15-74,F,THS_PER,IT
lfst_r_lfe2en2,2008,10.8,A,F,Y15-74,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,172.4,A,F,Y15-74,M,THS_PER,FI
lfst_r_lfe2en2,2008,44.4,A,F,Y15-74,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,1837.5,A,F,Y15-74,M,THS_PER,IT
lfst_r_lfe2en2,2008,169.2,A,F,Y15-74,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,185.8,A,F,Y15-74,T,THS_PER,FI
lfst_r_lfe2en2,2008,50.4,A,F,Y15-74,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,1950.1,A,F,Y15-74,T,THS_PER,IT
lfst_r_lfe2en2,2008,179.9,A,F,Y15-74,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,11.1,A,F,Y25-64,F,THS_PER,FI
lfst_r_lfe2en2,2008,4.8,A,F,Y25-64,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,102.6,A,F,Y25-64,F,THS_PER,IT
lfst_r_lfe2en2,2008,9.8,A,F,Y25-64,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,148.4,A,F,Y25-64,M,THS_PER,FI
lfst_r_lfe2en2,2008,37.7,A,F,Y25-64,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,1653.2,A,F,Y25-64,M,THS_PER,IT
lfst_r_lfe2en2,2008,151.5,A,F,Y25-64,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,159.5,A,F,Y25-64,T,THS_PER,FI
lfst_r_lfe2en2,2008,42.5,A,F,Y25-64,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,1755.8,A,F,Y25-64,T,THS_PER,IT
lfst_r_lfe2en2,2008,161.4,A,F,Y25-64,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,20.3,A,F,Y65-74,M,THS_PER,IT
lfst_r_lfe2en2,2008,1.9,A,F,Y65-74,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,20.6,A,F,Y65-74,T,THS_PER,IT
lfst_r_lfe2en2,2008,2.0,A,F,Y65-74,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,13.4,A,F,Y_GE15,F,THS_PER,FI
lfst_r_lfe2en2,2008,6.0,A,F,Y_GE15,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,112.6,A,F,Y_GE15,F,THS_PER,IT
lfst_r_lfe2en2,2008,10.8,A,F,Y_GE15,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,172.4,A,F,Y_GE15,M,THS_PER,FI
lfst_r_lfe2en2,2008,44.4,A,F,Y_GE15,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,1840.0,A,F,Y_GE15,M,THS_PER,IT
lfst_r_lfe2en2,2008,169.2,A,F,Y_GE15,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,185.8,A,F,Y_GE15,T,THS_PER,FI
lfst_r_lfe2en2,2008,50.4,A,F,Y_GE15,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,1952.5,A,F,Y_GE15,T,THS_PER,IT
lfst_r_lfe2en2,2008,179.9,A,F,Y_GE15,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,60.2,A,G-I,Y15-24,F,THS_PER,FI
lfst_r_lfe2en2,2008,20.3,A,G-I,Y15-24,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,219.6,A,G-I,Y15-24,F,THS_PER,IT
lfst_r_lfe2en2,2008,21.6,A,G-I,Y15-24,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,42.6,A,G-I,Y15-24,M,THS_PER,FI
lfst_r_lfe2en2,2008,16.7,A,G-I,Y15-24,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,271.4,A,G-I,Y15-24,M,THS_PER,IT
lfst_r_lfe2en2,2008,21.8,A,G-I,Y15-24,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,102.8,A,G-I,Y15-24,T,THS_PER,FI
lfst_r_lfe2en2,2008,37.1,A,G-I,Y15-24,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,491.0,A,G-I,Y15-24,T,THS_PER,IT
lfst_r_lfe2en2,2008,43.4,A,G-I,Y15-24,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,251.5,A,G-I,Y15-64,F,THS_PER,FI
lfst_r_lfe2en2,2008,87.0,A,G-I,Y15-64,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,2167.2,A,G-I,Y15-64,F,THS_PER,IT
lfst_r_lfe2en2,2008,209.8,A,G-I,Y15-64,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,295.3,A,G-I,Y15-64,M,THS_PER,FI
lfst_r_lfe2en2,2008,110.0,A,G-I,Y15-64,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,3401.3,A,G-I,Y15-64,M,THS_PER,IT
lfst_r_lfe2en2,2008,276.7,A,G-I,Y15-64,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,546.8,A,G-I,Y15-64,T,THS_PER,FI
lfst_r_lfe2en2,2008,197.0,A,G-I,Y15-64,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,5568.5,A,G-I,Y15-64,T,THS_PER,IT
lfst_r_lfe2en2,2008,486.5,A,G-I,Y15-64,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,253.6,A,G-I,Y15-74,F,THS_PER,FI
lfst_r_lfe2en2,2008,87.8,A,G-I,Y15-74,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,2196.2,A,G-I,Y15-74,F,THS_PER,IT
lfst_r_lfe2en2,2008,213.0,A,G-I,Y15-74,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,298.1,A,G-I,Y15-74,M,THS_PER,FI
lfst_r_lfe2en2,2008,110.9,A,G-I,Y15-74,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,3465.6,A,G-I,Y15-74,M,THS_PER,IT
lfst_r_lfe2en2,2008,281.2,A,G-I,Y15-74,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,551.7,A,G-I,Y15-74,T,THS_PER,FI
lfst_r_lfe2en2,2008,198.8,A,G-I,Y15-74,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,5661.8,A,G-I,Y15-74,T,THS_PER,IT
lfst_r_lfe2en2,2008,494.2,A,G-I,Y15-74,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,191.4,A,G-I,Y25-64,F,THS_PER,FI
lfst_r_lfe2en2,2008,66.7,A,G-I,Y25-64,F,THS_PER,FI1B
lfst_r_lfe2en2,2008,1947.6,A,G-I,Y25-64,F,THS_PER,IT
lfst_r_lfe2en2,2008,188.2,A,G-I,Y25-64,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,252.7,A,G-I,Y25-64,M,THS_PER,FI
lfst_r_lfe2en2,2008,93.2,A,G-I,Y25-64,M,THS_PER,FI1B
lfst_r_lfe2en2,2008,3129.9,A,G-I,Y25-64,M,THS_PER,IT
lfst_r_lfe2en2,2008,254.9,A,G-I,Y25-64,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,444.0,A,G-I,Y25-64,T,THS_PER,FI
lfst_r_lfe2en2,2008,159.9,A,G-I,Y25-64,T,THS_PER,FI1B
lfst_r_lfe2en2,2008,5077.5,A,G-I,Y25-64,T,THS_PER,IT
lfst_r_lfe2en2,2008,443.1,A,G-I,Y25-64,T,THS_PER,ITH3
lfst_r_lfe2en2,2008,2.0,A,G-I,Y65-74,F,THS_PER,FI
lfst_r_lfe2en2,2008,29.0,A,G-I,Y65-74,F,THS_PER,IT
lfst_r_lfe2en2,2008,3.2,A,G-I,Y65-74,F,THS_PER,ITH3
lfst_r_lfe2en2,2008,2.8,A,G-I,Y65-74,M,THS_PER,FI
lfst_r_lfe2en2,2008,64.4,A,G-I,Y65-74,M,THS_PER,IT
lfst_r_lfe2en2,2008,4.5,A,G-I,Y65-74,M,THS_PER,ITH3
lfst_r_lfe2en2,2008,4.9,A,G-I,Y65-74,T,THS_PER,FI
lfst_r_lfe2en2,2008,93.3,A,G-I,Y65-74,T,THS_PER,IT
lfst_r_lfe2en2,2008,7.7,A,G-I,Y65-74,T,THS_PER,ITH3
